sample_id,timestamp_iso,phase_name,action_name,action_value,extra_info,semantic_move_m0,semantic_move_m1,semantic_move_m2,semantic_move_m3,raw_move_m0,raw_move_m1,raw_move_m2,raw_move_m3,spool_pos_m0,spool_pos_m1,spool_pos_m2,spool_pos_m3,tracking_ok,tracking_reason,base_x,base_y,tip_x,tip_y,base_x_img,base_y_img,tip_x_img,tip_y_img,num_path_points,num_resampled_points,points_json,points_image_json
1,2026-04-10T18:16:04.297841,sweep,bend_left,40,{},0,55,0,55,0,-55,0,-55,10204,3002,22355,15138,1,,0.0,0.0,5.5,-368.0,632.5,295.0,638.0,663.0,364,20,"[[0.0, 0.0], [-2.0, -17.098236083984375], [-3.0, -36.77850341796875], [-4.5, -56.3958740234375], [-5.5, -76.05596923828125], [-6.0, -95.784423828125], [-5.5, -115.51284790039062], [-3.2154541015625, -134.983642578125], [-2.5714111328125, -154.69683837890625], [-2.013427734375, -174.40591430664062], [1.0, -193.87088012695312], [1.5, -213.59933471679688], [4.5, -232.86676025390625], [6.036865234375, -252.5052490234375], [6.22076416015625, -272.0906982421875], [7.2001953125, -291.802001953125], [8.1082763671875, -311.51593017578125], [7.23883056640625, -330.34393310546875], [6.36944580078125, -349.1719970703125], [5.5, -368.0]]","[[632.5, 295.0], [630.5, 312.098223240719], [629.5000152587891, 331.77849163134766], [628.0, 351.3958590968589], [627.0, 371.05597177550965], [626.5000152587891, 390.7844157945549], [627.0, 410.5128598136001], [629.2845677512913, 429.9836428431166], [629.9285888671875, 449.69683548614904], [630.4865743108348, 469.4059104929368], [633.5000152587891, 488.8708866369961], [634.0, 508.5993306560415], [637.0000152587891, 527.8667863724227], [638.5368435145024, 547.505239003591], [638.7207577997735, 567.0906841448007], [639.7001691216506, 586.8020259680609], [640.6082913895074, 606.5159120920215], [639.7388609263382, 625.343941394681], [638.8694304631691, 644.1719706973405], [638.0, 663.0]]"
2,2026-04-10T18:16:04.866904,sweep,bend_left,80,{},0,80,0,80,0,-80,0,-80,10204,3082,22355,15218,1,,0.0,0.0,11.0,-365.0,631.0,295.0,642.0,660.0,362,20,"[[0.0, 0.0], [0.26873779296875, -14.745819091796875], [-1.0, -34.186767578125], [-2.0, -53.5806884765625], [-3.5, -72.93701171875], [-4.5, -92.34097290039062], [-4.0, -111.828369140625], [-3.0, -131.2777099609375], [-1.82611083984375, -150.71719360351562], [-0.90399169921875, -170.17205810546875], [2.70611572265625, -189.29513549804688], [3.0, -208.77420043945312], [4.93365478515625, -228.07061767578125], [6.459716796875, -247.43603515625], [8.0, -266.8009033203125], [9.5, -286.2222900390625], [9.5, -305.72747802734375], [10.0, -325.4849853515625], [10.5, -345.24249267578125], [11.0, -365.0]]","[[631.0, 295.0], [631.2687654164492, 309.745812422927], [630.0000152587891, 329.1867820016496], [629.0000152587891, 348.5807035147354], [627.5000152587891, 367.937016897268], [626.5000152587891, 387.34097972191876], [627.0, 406.8283697128049], [628.0, 426.277696365971], [629.1739096796409, 445.7171912801698], [630.0960225049171, 465.1720528550935], [633.7061069651239, 484.295123981084], [634.0, 503.77419460032485], [635.933634692343, 523.0706286196906], [637.4597167366776, 542.4360171020943], [639.0, 561.8008963675222], [640.5000152587891, 581.2222719901498], [640.5000152587891, 600.7274953177181], [641.0000101725261, 620.4849968784788], [641.5000050862631, 640.2424984392394], [642.0, 660.0]]"
3,2026-04-10T18:16:05.527053,sweep,bend_left,120,{},0,120,0,120,0,-120,0,-120,10204,3202,22355,15338,1,,0.0,0.0,11.5,-365.0,632.5,295.0,644.0,660.0,363,20,"[[0.0, 0.0], [-1.5, -17.4306640625], [-2.5, -36.744720458984375], [-3.5, -56.033538818359375], [-6.5, -74.84906005859375], [-7.0, -94.17071533203125], [-5.9661865234375, -113.47341918945312], [-4.94305419921875, -132.7967529296875], [-3.14044189453125, -152.01678466796875], [-2.2381591796875, -171.33273315429688], [-0.1348876953125, -190.55581665039062], [1.48504638671875, -209.79034423828125], [3.49493408203125, -228.9290771484375], [4.5, -248.2327880859375], [6.5, -267.43597412109375], [8.47674560546875, -286.67474365234375], [9.5, -305.98291015625], [10.16668701171875, -325.6552734375], [10.83331298828125, -345.32763671875], [11.5, -365.0]]","[[632.5, 295.0], [631.0000152587891, 312.43066802516734], [630.0000152587891, 331.7447095347487], [629.0000152587891, 351.03353864327454], [626.0000152587891, 369.84905735194457], [625.5, 389.1707020826706], [626.533830004622, 408.4734208893201], [627.5569243828675, 427.7967520520407], [629.3595610278304, 447.0167903781128], [630.2618394952265, 466.33271877367645], [632.3651214895295, 485.5558216126689], [633.9850241315785, 504.79033144352235], [635.9949615766316, 523.9290478184805], [637.0000152587891, 543.2327962010617], [639.0, 562.4359942524859], [640.9767677684446, 581.6747388320413], [642.0, 600.982895010959], [642.6666666666667, 620.6552633406393], [643.3333333333334, 640.3276316703196], [644.0, 660.0]]"
4,2026-04-10T18:16:06.118637,sweep,bend_left,80,{},0,80,0,80,0,-80,0,-80,10204,3282,22355,15418,1,,0.0,0.0,27.5,-364.0,631.5,295.0,659.0,659.0,362,20,"[[0.0, 0.0], [-0.47955322265625, -16.713623046875], [-0.5, -36.095672607421875], [-3.5, -55.101409912109375], [-4.0, -74.4615478515625], [-5.0, -93.81396484375], [-4.08306884765625, -113.16342163085938], [-4.3487548828125, -132.55874633789062], [-2.80499267578125, -151.86517333984375], [-1.1197509765625, -171.16152954101562], [1.8201904296875, -190.24130249023438], [2.40252685546875, -209.6351318359375], [4.41693115234375, -228.8369140625], [5.5, -248.1864013671875], [7.5, -267.4481201171875], [8.98455810546875, -286.783203125], [11.0, -305.9849853515625], [16.5, -325.3233642578125], [22.0, -344.66168212890625], [27.5, -364.0]]","[[631.5, 295.0], [631.0204693388047, 311.7136341405884], [631.0000152587891, 331.0956659304275], [628.0, 350.1014029531339], [627.5000152587891, 369.46154025361255], [626.5000152587891, 388.81396256465086], [627.4169011953838, 408.1634187693485], [627.1512619950447, 427.5587594645641], [628.6950325272785, 446.8651769419767], [630.3802390250634, 466.16154077617506], [633.3202054288572, 485.24129277778115], [633.9025114781482, 504.6351190412146], [635.9169394969268, 523.8369386737716], [637.0000152587891, 543.1863977697808], [639.0, 562.4480905873735], [640.4845321338603, 581.7832296356904], [642.5, 600.9850131766391], [648.0, 620.3233421177595], [653.5, 639.6616710588796], [659.0, 659.0]]"
5,2026-04-10T18:16:06.719574,sweep,bend_left,40,{},0,40,0,40,0,-40,0,-40,10204,3322,22355,15458,1,,0.0,0.0,10.0,-368.0,632.0,295.0,642.0,663.0,363,20,"[[0.0, 0.0], [-1.0, -18.448699951171875], [-2.0, -37.7423095703125], [-4.0, -56.890350341796875], [-6.0, -75.96945190429688], [-6.0, -95.31390380859375], [-5.1854248046875, -114.5958251953125], [-4.65789794921875, -133.89453125], [-3.0, -153.04962158203125], [-1.81146240234375, -172.3197021484375], [0.0, -191.525634765625], [1.4822998046875, -210.75180053710938], [3.98358154296875, -229.76947021484375], [4.52001953125, -249.0933837890625], [7.5, -268.03741455078125], [8.524658203125, -287.34527587890625], [10.5, -306.53387451171875], [10.33331298828125, -327.0225830078125], [10.16668701171875, -347.51129150390625], [10.0, -368.0]]","[[632.0, 295.0], [631.0000152587891, 313.4487005547759], [630.0000152587891, 332.74230419902176], [628.0, 351.8903563413834], [626.0000152587891, 370.9694598227797], [626.0000152587891, 390.3139034524667], [626.8145886380019, 409.59583828667223], [627.3420822097464, 428.89454173231616], [629.0000152587891, 448.04961043548354], [630.1885433103657, 467.31970248725025], [632.0, 486.52563801850533], [633.4822876369597, 505.7518057200997], [635.9835628198348, 524.7694944384222], [636.5200296777197, 544.0933968213496], [639.5000305175781, 563.0374007551034], [640.5246785731712, 582.3452969389764], [642.5, 601.533880708117], [642.3333333333334, 622.0225871387447], [642.1666666666667, 642.5112935693724], [642.0, 663.0]]"
6,2026-04-10T18:16:07.704824,reset,reset_release,120,{},0,-63,0,-63,0,63,0,63,10204,3259,22355,15395,1,,0.0,0.0,11.0,-370.0,631.0,295.0,642.0,665.0,363,20,"[[0.0, 0.0], [0.0, -18.094329833984375], [-1.0, -37.4412841796875], [-2.5, -56.705108642578125], [-4.5, -75.83251953125], [-5.5, -95.15420532226562], [-4.5, -114.48599243164062], [-4.1632080078125, -133.85733032226562], [-2.47283935546875, -153.126708984375], [-0.75927734375, -172.37005615234375], [1.5, -191.60659790039062], [2.49560546875, -210.93853759765625], [4.5, -230.11505126953125], [5.5311279296875, -249.43560791015625], [8.5, -268.41717529296875], [9.5, -287.7742919921875], [11.5, -306.9361572265625], [11.33331298828125, -327.95745849609375], [11.16668701171875, -348.97869873046875], [11.0, -370.0]]","[[631.0, 295.0], [631.0000152587891, 313.09431501096196], [630.0000152587891, 332.4412798932296], [628.5, 351.70511920436786], [626.5000152587891, 370.8325272348246], [625.5, 390.15420544357823], [626.5000152587891, 409.4859970302542], [626.8367830762555, 428.8573398510448], [628.5271527711063, 448.1267077760767], [630.2407271637028, 467.3700695151518], [632.5000152587891, 486.60660118646757], [633.4956262114508, 505.9385514620043], [635.5, 525.1150475584634], [636.5311297366095, 544.4356159834318], [639.5000305175781, 563.4172039760047], [640.5000152587891, 582.7742843941621], [642.5, 601.9361694549166], [642.3333333333334, 622.9574463032777], [642.1666666666667, 643.9787231516389], [642.0, 665.0]]"
7,2026-04-10T18:16:08.629341,reset,reset_release,60,{},0,-24,0,-24,0,24,0,24,10204,3235,22355,15371,1,,0.0,0.0,11.0,-367.0,631.0,295.0,642.0,662.0,364,20,"[[0.0, 0.0], [0.0, -17.63165283203125], [-1.0, -37.02911376953125], [-3.0, -56.30084228515625], [-4.5, -75.60528564453125], [-5.0, -95.03067016601562], [-4.3955078125, -114.46246337890625], [-2.87103271484375, -133.8060302734375], [-2.11126708984375, -153.22103881835938], [-0.56256103515625, -172.56201171875], [1.475830078125, -191.83074951171875], [3.5, -211.06134033203125], [4.5, -230.4537353515625], [5.61822509765625, -249.82757568359375], [8.07470703125, -269.02313232421875], [9.5281982421875, -288.3944091796875], [11.0, -307.764892578125], [11.0, -327.50994873046875], [11.0, -347.25494384765625], [11.0, -367.0]]","[[631.0, 295.0], [631.0000152587891, 312.6316678139126], [630.0000152587891, 332.0291228803331], [628.0, 351.3008497223093], [626.5000152587891, 370.60529471527224], [626.0000152587891, 390.0306579297211], [626.6044727481722, 409.46244948178], [628.1289977491933, 428.80602360417333], [628.8887240134796, 448.22104432251706], [630.4374495664863, 467.56202678799923], [632.4758329146811, 486.83073650502354], [634.5000152587891, 506.06132593677944], [635.5, 525.4537254014651], [636.6182409910062, 544.8276053820323], [639.0747280803398, 564.0231125265059], [640.5281854028375, 583.3943940526299], [642.0, 602.7649060996947], [642.0, 622.5099373997965], [642.0, 642.2549686998982], [642.0, 662.0]]"
8,2026-04-10T18:16:09.255596,sweep,bend_right,40,{},55,-16,55,-16,55,16,-55,16,10259,3219,22410,15355,1,,0.0,0.0,2.5,-366.0,631.5,295.0,634.0,661.0,363,20,"[[0.0, 0.0], [-1.0, -18.061279296875], [-2.0, -37.657501220703125], [-3.5, -57.170989990234375], [-5.5, -76.55313110351562], [-6.0, -96.19757080078125], [-6.0, -115.85470581054688], [-5.47052001953125, -135.47088623046875], [-4.5, -155.04031372070312], [-3.763916015625, -174.65277099609375], [-2.5, -194.22784423828125], [-1.0, -213.75119018554688], [-1.0, -233.4083251953125], [1.031982421875, -252.8619384765625], [2.5, -272.3333740234375], [3.35076904296875, -291.95538330078125], [4.29364013671875, -311.5556640625], [3.69580078125, -329.70379638671875], [3.097900390625, -347.85186767578125], [2.5, -366.0]]","[[631.5, 295.0], [630.5, 313.0612660957971], [629.5000152587891, 332.65750976420287], [628.0, 352.1709928343973], [626.0000152587891, 371.5531397703408], [625.5, 391.1975568927107], [625.5, 410.85471319982037], [626.0294721112892, 430.4708740500928], [627.0, 450.0403091085824], [627.7361137507366, 469.65277696980417], [629.0000152587891, 489.22784712780424], [630.5, 508.75119571018706], [630.5, 528.4083531046394], [632.5319986601071, 547.8619526936598], [634.0, 567.3333716696245], [634.8507745815662, 586.9553901920016], [635.7936695720514, 606.5556903849144], [635.1957797147008, 624.703793589943], [634.5978898573504, 642.8518967949715], [634.0, 661.0]]"
9,2026-04-10T18:16:09.919242,sweep,bend_right,80,{},80,-32,80,-32,80,32,-80,32,10339,3187,22490,15323,1,,0.0,0.0,-8.5,-370.0,630.5,295.0,622.0,665.0,365,20,"[[0.0, 0.0], [-0.0712890625, -18.002105712890625], [-0.5, -37.740142822265625], [-2.5, -57.2879638671875], [-5.4635009765625, -76.51095581054688], [-6.0, -96.22238159179688], [-3.38690185546875, -115.58331298828125], [-3.7257080078125, -135.23199462890625], [-5.23541259765625, -154.70376586914062], [-4.75250244140625, -174.46524047851562], [-4.5, -194.23492431640625], [-4.0, -213.99581909179688], [-4.5, -233.75665283203125], [-3.22113037109375, -253.45208740234375], [-2.7642822265625, -273.1500244140625], [-2.0625, -292.87469482421875], [-2.55841064453125, -312.59112548828125], [-4.5389404296875, -331.7274169921875], [-6.51947021484375, -350.86370849609375], [-8.5, -370.0]]","[[630.5, 295.0], [630.428724303893, 313.00210980130976], [630.0000152587891, 332.74013789344343], [628.0, 352.2879759107273], [625.0364966548423, 371.5109687613215], [624.5, 391.22238182288527], [627.1131059933748, 410.58331860325063], [626.7742917360431, 430.23199251417066], [625.2645611127832, 449.70375498554995], [625.7475093629547, 469.46523683200166], [626.0000152587891, 489.234936955511], [626.5000152587891, 508.9958100612312], [626.0000152587891, 528.7566831669515], [627.2788769621154, 548.4520914963891], [627.7357256793774, 568.1500232988337], [628.4375221929374, 587.8747159930891], [627.9415920117565, 607.5911316046222], [625.961061341171, 626.7274210697481], [623.9805306705855, 645.863710534874], [622.0, 665.0]]"
10,2026-04-10T18:16:10.575038,sweep,bend_right,120,{},120,-48,120,-48,120,48,-120,48,10459,3139,22610,15275,1,,0.0,0.0,-4.0,-366.0,631.0,295.0,627.0,661.0,366,20,"[[0.0, 0.0], [0.0, -18.831268310546875], [-1.0, -39.1824951171875], [-3.0, -59.3634033203125], [-6.0, -79.18722534179688], [-7.397705078125, -99.43170166015625], [-7.21429443359375, -119.806884765625], [-7.239501953125, -140.1766357421875], [-7.60400390625, -160.54354858398438], [-7.85174560546875, -180.92431640625], [4.5, -194.0540771484375], [-6.5, -208.41268920898438], [-8.23565673828125, -228.64947509765625], [-8.07647705078125, -248.9647216796875], [-8.5, -269.34100341796875], [-9.5, -289.6568603515625], [-10.21630859375, -310.02838134765625], [-8.14422607421875, -328.685546875], [-6.07208251953125, -347.3427734375], [-4.0, -366.0]]","[[631.0, 295.0], [631.0000152587891, 313.8312545533069], [630.0000152587891, 334.1824920673675], [628.0, 354.36340891483366], [625.0, 374.18722441232165], [623.6022754806281, 394.43168679736016], [623.7857208251953, 414.80687663142817], [623.7604866714547, 435.1766256007203], [623.3959716469453, 455.5435586101705], [623.1482733299536, 475.9243236590817], [635.5, 489.0540817315672], [624.5, 503.412697731687], [622.7643673554431, 523.6494788499979], [622.9235455682547, 543.964699600677], [622.5000152587891, 564.3409799244935], [621.5, 584.6568905889518], [620.7836950397498, 605.0283618617734], [622.8557966931664, 623.6855745745156], [624.9278983465832, 642.3427872872578], [627.0, 661.0]]"
